t,k,L,epsilon,dkdt,residual
0.0,1.0,0.1,5.999999999999999,-6.000000000000003,-3.552713678800501e-15
0.008347245409015025,0.9499165275459098,0.10172745635916101,5.460610892554233,-5.7303054462771215,-0.2696945537228883
0.01669449081803005,0.904335468342619,0.10340863653098362,4.989864873770776,-5.225237883162514,-0.2353730093917381
0.025041736227045072,0.8626838416834306,0.10504678828902624,4.576631728196114,-4.783248300983445,-0.2066165727873308
0.0333889816360601,0.8244815735014931,0.10664479948668272,4.211947985312104,-4.394289856754106,-0.1823418714420022
0.041736227045075125,0.7893234100180866,0.10820525151417715,3.888529398485531,-4.050238691898819,-0.16170929341328844
0.050083472454090144,0.7568649008487582,0.10973046294972781,3.600406915846043,-3.744468157165791,-0.14406124131974796
0.05843071786310517,0.7268114207498764,0.11122252552066181,3.3426515959406014,-3.471529255893323,-0.1288776599527215
0.0667779632721202,0.6989094875617244,0.11268333397029465,3.1111644405446834,-3.2269080182426464,-0.11574357769796295
0.07512520868113522,0.672939834468697,0.11411461104869608,2.9025141894319706,-3.0068393149883335,-0.10432512555636286
0.08347245409015025,0.64871183622636,0.11551792856742371,2.713810951809559,-2.808162570620752,-0.09435161881119303
0.09181969949916527,0.626058990217933,0.11689472525109976,2.5426068955195937,-2.6282089236645803,-0.08560202814498652
0.10016694490818029,0.6048352264823771,0.11824632196252963,2.3868175648154386,-2.464712230167528,-0.07789466535208955
0.10851419031719532,0.584911874522315,0.11957393475911084,2.244659067960079,-2.3157383163877583,-0.07107924842767943
0.11686143572621034,0.5661751544224812,0.12087868614679807,2.1145975772035333,-2.179628322581806,-0.06503074537827258
0.12520868113522537,0.5485240895042548,0.12216161482689569,1.995308456969879,-2.054953017086696,-0.05964456011681696
0.1335559265442404,0.5318687601472442,0.1234236841753879,1.8856429773173427,-1.9404757171436096,-0.05483273982626691
0.1419031719532554,0.5161288354617906,0.12466578965069006,1.784601045045541,-1.8351220111814435,-0.05052096613590251
0.15025041736227043,0.5012323325816107,0.12588876529087886,1.6913087402814244,-1.7379548926634847,-0.04664615238206027
0.15859766277128548,0.4871145634640696,0.12709338943359283,1.6049997144283492,-1.6481542273548833,-0.04315451292653405
0.1669449081803005,0.47371723696633716,0.12828038976935105,1.524999709099552,-1.5649997117639494,-0.040000002664397405
0.17529215358931552,0.4609876901458067,0.12945044782085172,1.4507136116651087,-1.4878566603823309,-0.03714304871722218
0.18363939899833054,0.4488782276110395,0.13060420292598843,1.38161458334465,-1.4161640975048826,-0.03454951416023255
0.19198664440734556,0.43734555162318767,0.1317422557901734,1.3172348891685746,-1.3494247362566156,-0.03218984708804107
0.20033388981636058,0.42635026874198084,0.1328651716635497,1.2571581320888565,-1.2871965106287142,-0.03003837853985769
0.20868113522537562,0.41585646129549625,0.13397348319038768,1.2010126508606966,-1.2290853914747757,-0.02807274061407905
0.21702838063439064,0.40583131395943034,0.13506769297107066,1.1484658866401707,-1.1747392687504359,-0.026273382110265198
0.22537562604340566,0.3962447873597628,0.13614827587131573,1.0992195592646685,-1.1238427229524213,-0.024623163687752747
0.23372287145242068,0.3870693319401913,0.13721568110844581,1.0530055229607964,-1.0761125411127352,-0.02310701815193883
0.2420701168614357,0.3782796364229893,0.13827033414045836,1.0095821943296812,-1.0312938586452383,-0.021711664315557044
0.25041736227045075,0.36985240608634756,0.13931263838019495,0.9687314640987416,-0.9891568292142097,-0.020425365115468108
0.25876460767946574,0.36176616682008095,0.14034297675399435,0.9302560192337805,-0.9494937416662594,-0.0192377224324789
0.2671118530884808,0.3540010915343232,0.1413617131217233,0.8939770142992784,-0.9121165167665275,-0.018139502467249047
0.27545909849749584,0.3465388460059486,0.14236919357295225,0.8597320410029321,-0.8768545276511048,-0.01712248664817273
0.2838063439065108,0.33936245167370377,0.14336574761221973,0.8273733531060398,-0.8435526970544842,-0.016179343948444447
0.2921535893155259,0.332456163250448,0.14435168924476016,0.7967663106737533,-0.8120698318899002,-0.015303521216146976
0.30050083472454087,0.3258053593216187,0.1453273179727168,0.7677880132553243,-0.7822771619645401,-0.014489148709215804
0.3088480801335559,0.3193964443528764,0.1462929197106907,0.7403260962445517,-0.7540570547499357,-0.013730958505383972
0.31719532554257096,0.3132167607448251,0.1472487676284606,0.7142776685506909,-0.7273018823976187,-0.013024213846927868
0.32554257095158595,0.30725450975525337,0.14819512292782547,0.6895483729513854,-0.7019130207510393,-0.01236464779965396
0.333889816360601,0.3014986802648411,0.14913223555975036,0.6660515532154938,-0.6777999630834444,-0.01174840986795056
0.342237061769616,0.29593898449509576,0.15006034488732292,0.6437075143670634,-0.6548795337912807,-0.011172019424217305
0.35058430717863104,0.2905657999010468,0.15097968029943776,0.6224428643868357,-0.6330751893769495,-0.010632324990113795
0.3589315525876461,0.28537011655891964,0.1518904617796065,0.6021899272754322,-0.6123163958311331,-0.010126468555700874
0.3672787979966611,0.2803434894531147,0.15279290043383614,0.5828862187825006,-0.5925380730289653,-0.009651854246464753
0.3756260434056761,0.27547799513940435,0.1536871989811149,0.5644739772794257,-0.573680098030966,-0.009206120751540259
0.3839732888146911,0.2707661923240502,0.15457355220968852,0.5468997432532893,-0.5556868602663592,-0.00878711701306989
0.39232053422370616,0.2662010859529877,0.1554521474019958,0.5301139817543354,-0.5385068625038123,-0.008392880749476861
0.40066777963272115,0.26177609445253414,0.15632316473085175,0.5140707428612005,-0.5220923623077702,-0.008021619446569761
0.4090150250417362,0.257485019804277,0.15718677762921707,0.49872735585666456,-0.5063990493589312,-0.007671693502266652
